id,displyname,date,pagecount,consultant,authortype,authorDescription,stretergy,notes
860812,East Riding,2024-03-23T06:30:00,17,,Institutional Investor,East Riding (Institutional Investor),Multiple Asset Classes,Pension Fund Risk Register – Quarterly Report Q4 2023-24
862424,Nevada Deferred Compensation,2024-02-29T19:00:00,27,Voya Retirement,Consultant,Voya Retirement (Consultant),Multiple Asset Classes,Voya Update Q4 2023 Plan Review
862423,Nevada Deferred Compensation,2024-02-29T19:00:00,135,Hyas Group,Consultant,Hyas Group (Consultant),Multiple Asset Classes,"457(b) Deferred Compensation and OBRA Plans December 31, 2023 Performance Report"
862391,Kern County ERA,2024-02-29T17:00:00,34,,Legal Counsel,Legal Counsel,Multiple Asset Classes,Brown Act Compliance in 2024 -- authored by Nossaman LLP
862150,Cambridgeshire,2024-02-29T17:00:00,19,Mercer,Consultant,Mercer (Consultant),Multiple Asset Classes,Monitoring Report Quarter to 31 December 2023 
862148,Cambridgeshire,2024-02-29T17:00:00,2,,Institutional Investor,Cambridgeshire (Institutional Investor),Real Assets: Natural Resources,"Action Log -- Timberland: APEX will commence the procurement of managers in March 2024, with an expected completion date by June 2024 (pg 1) -- logged as a strategic plan and investment recommendation for timberland"
862147,Cambridgeshire,2024-02-29T17:00:00,2,,Institutional Investor,Cambridgeshire (Institutional Investor),Multiple Asset Classes,"Action Log -- Timberland: APEX will commence the procurement of managers in March 2024, with an expected completion date by June 2024 (pg 1) -- logged as a strategic plan and investment recommendation for timberland"
862146,Cambridgeshire,2024-02-29T17:00:00,9,,Institutional Investor,Cambridgeshire (Institutional Investor),Multiple Asset Classes,Stewardship and Engagement Update
862142,Gloucestershire,2024-02-29T17:00:00,40,Hymans Robertson,Consultant,Hymans Robertson (Consultant),Multiple Asset Classes,Cashflow porjections
862141,Gloucestershire,2024-02-29T17:00:00,19,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Business Plan 2024-25
862137,Gloucestershire,2024-02-29T17:00:00,9,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Gloucestershire Pension Fund Update – Part 1 – Governance & Operations Memo
862135,Gloucestershire,2024-02-29T17:00:00,6,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Gloucestershire Pension Fund Update – Part 1 – Funding & Investment Memo
862134,Gloucestershire,2024-02-29T17:00:00,5,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Governance Review - Work Plan
862133,Gloucestershire,2024-02-29T17:00:00,1,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Fund Asset Allocation vs Strategic Asset Allocation @ 31 December 2023
862132,Gloucestershire,2024-02-29T17:00:00,1,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Fund Update -- Performance vs. Benchmark @ 31 December 2023
862130,Gloucestershire,2024-02-29T17:00:00,4,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Cash Management Strategy 2024/25
862128,Gloucestershire,2024-02-29T17:00:00,13,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Statement of Administering Authority Discretions Policy
862127,Gloucestershire,2024-02-29T17:00:00,8,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Business Plan 2023/24
862124,Gloucestershire,2024-02-29T17:00:00,3,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Policy Review Memo
862122,Gloucestershire,2024-02-29T17:00:00,6,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Gloucestershire Pension Fund Business Plan 2024-25 Memo
862120,Gloucestershire,2024-02-29T17:00:00,3,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Cashflow Monitoring Memo
862119,Gloucestershire,2024-02-29T17:00:00,5,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Risk Register - All Fund Risk Heat Map and Summary of Governance Risks
862117,Gloucestershire,2024-02-29T17:00:00,1,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Risk Evaluation and Likelihood and Impact Explanations
862115,Gloucestershire,2024-02-29T17:00:00,3,,Institutional Investor,Gloucestershire (Institutional Investor),Multiple Asset Classes,Risk Register Memo
862108,Hounslow,2024-02-29T17:00:00,4,,Institutional Investor,Hounslow (Institutional Investor),Multiple Asset Classes,Draft Annual Business Plan 2024/25 Memo
862107,Hounslow,2024-02-29T17:00:00,8,,Institutional Investor,Hounslow (Institutional Investor),Multiple Asset Classes,Our People Policies - Pensions Discretion Statement of Policy
862106,Hounslow,2024-02-29T17:00:00,13,,Institutional Investor,Hounslow (Institutional Investor),Multiple Asset Classes,Procedure for reporting breaches of law
862105,Hounslow,2024-02-29T17:00:00,5,,Institutional Investor,Hounslow (Institutional Investor),Multiple Asset Classes,Scheme Pays Policy
862104,Hounslow,2024-02-29T17:00:00,12,,Institutional Investor,Hounslow (Institutional Investor),Multiple Asset Classes,Conflicts of Interest Policy
862103,Hounslow,2024-02-29T17:00:00,1,,Institutional Investor,Hounslow (Institutional Investor),Multiple Asset Classes,Risk Table
862102,Hounslow,2024-02-29T17:00:00,12,,Institutional Investor,Hounslow (Institutional Investor),Multiple Asset Classes,Funding and Administration risk of the Hounslow Pension Fund (Updated December 2023)
862100,Hounslow,2024-02-29T17:00:00,3,,Institutional Investor,Hounslow (Institutional Investor),Multiple Asset Classes,Pension Fund Risk Register Memo
862099,Hounslow,2024-02-29T17:00:00,6,,Institutional Investor,Hounslow (Institutional Investor),Multiple Asset Classes,Quarterly Overview and General Matters Report Memo
862066,Suffolk,2024-02-29T17:00:00,14,Hymans Robertson,Consultant/Institutional Investor,Hymans Robertson (Consultant)/Suffolk (Institutional Investor),Multiple Asset Classes,Investment Consultancy Review -- Memo (pg 1-3) -- Hymans Robertson Investment adviser objectives review (pg 5-14)
862057,Suffolk,2024-02-29T17:00:00,14,,Institutional Investor,Suffolk (Institutional Investor),Multiple Asset Classes,"Environmental, Social and Governance, and Responsible Investment Report"
862041,Suffolk,2024-02-29T17:00:00,5,,Institutional Investor,Suffolk (Institutional Investor),Multiple Asset Classes,Suffolk Pension Fund Committee Forward Work Programme
862040,Suffolk,2024-02-29T17:00:00,8,,Institutional Investor,Suffolk (Institutional Investor),Multiple Asset Classes,Treasury Management Strategy 2024/25
862039,Suffolk,2024-02-29T17:00:00,4,,Institutional Investor,Suffolk (Institutional Investor),Multiple Asset Classes,Risk Register - Monitoring Report
862013,Wiltshire Pension Fund,2024-02-29T17:00:00,5,,Institutional Investor,Wiltshire Pension Fund (Institutional Investor),Multiple Asset Classes,Responsible Investment Update Report
862012,Wiltshire Pension Fund,2024-02-29T17:00:00,2,,Institutional Investor,Wiltshire Pension Fund (Institutional Investor),Equity,"Responsible Investment Plan 2024/2025 -- Responsible Investment Road Map Q2 2024 Investments and strategy: Complete allocations to a nature based fund and listed equities strategy in the Clops portfolio; Q4 2024 Investments and strategy: Investigate best practice ESG integration for bank loans, and make the final affordable housing allocation (pg 2) -- logged as a strategic plan and an investment recommendation for specific asset classes"
862011,Wiltshire Pension Fund,2024-02-29T17:00:00,2,,Institutional Investor,Wiltshire Pension Fund (Institutional Investor),Real Assets: Real Estate,"Responsible Investment Plan 2024/2025 -- Responsible Investment Road Map Q2 2024 Investments and strategy: Complete allocations to a nature based fund and listed equities strategy in the Clops portfolio; Q4 2024 Investments and strategy: Investigate best practice ESG integration for bank loans, and make the final affordable housing allocation (pg 2) -- logged as a strategic plan and an investment recommendation for specific asset classes"
